nimi,lataukset_kk,viimeinen_julkaisu,riippuvia_paketteja,riippuvia_repoja,yllapitajia,advisoryja,repo_tahdet,repo_avoimet_issuet,repo_arkistoitu,versioita,repo
fs.realpath,340225962,2016-06-15,2476,5532257,1,0,25,1,False,2,https://github.com/isaacs/fs.realpath
internmap,336081163,2021-09-20,31,50665,1,0,37,0,False,6,https://github.com/mbostock/internmap
resolve-pkg-maps,334210520,2022-12-14,20,146629,1,0,64,1,False,1,https://github.com/privatenumber/resolve-pkg-maps
html-escaper,330653477,2021-02-18,1087,1783603,1,0,112,1,False,9,https://github.com/WebReflection/html-escaper
split2,325971145,2023-03-26,1513,423999,1,0,296,4,False,22,https://github.com/mcollina/split2
dequal,324461014,2022-07-11,384,328554,1,0,1468,16,False,7,https://github.com/lukeed/dequal
xml-name-validator,323125349,2023-11-12,624,2142865,6,0,15,0,False,5,https://github.com/jsdom/xml-name-validator
string.prototype.trimstart,322718523,2024-03-21,964,1790728,2,0,4,1,False,11,https://github.com/es-shims/String.prototype.trimStart
functions-have-names,321542501,2022-04-19,838,983573,1,0,9,1,False,7,https://github.com/inspect-js/functions-have-names
clone,320880336,2018-03-21,4346,1981870,1,0,792,29,False,38,https://github.com/pvorb/node-clone
cssesc,320346798,2019-02-04,637,3326249,1,0,167,10,False,5,https://github.com/mathiasbynens/cssesc
tiny-invariant,317695098,2024-02-23,6314,927063,1,0,1862,23,False,21,https://github.com/alexreardon/tiny-invariant
w3c-xmlserializer,317659699,2023-11-12,383,1766365,6,0,22,4,False,13,https://github.com/jsdom/w3c-xmlserializer
istanbul-lib-coverage,317268948,2023-11-08,1460,2660713,4,0,1103,202,False,29,https://github.com/istanbuljs/istanbuljs
eastasianwidth,315129232,2024-04-21,383,130538,1,0,93,4,False,5,https://github.com/komagata/eastasianwidth
@pkgjs/parseargs,311571549,2022-10-10,14,65894,1,0,122,18,False,14,https://github.com/pkgjs/parseargs
process-nextick-args,310587036,2019-06-19,1469,1840796,1,0,33,2,False,10,https://github.com/calvinmetcalf/process-nextick-args
is-promise,309946974,2020-04-27,1163,347979,2,0,282,2,False,9,https://github.com/then/is-promise
xmlchars,309762932,2019-09-06,452,1779785,1,0,3,13,True,9,https://github.com/lddubeau/xmlchars
istanbul-lib-instrument,309323045,2024-06-30,1191,2654386,4,0,1103,202,False,75,https://github.com/istanbuljs/istanbuljs
is-binary-path,308450146,2024-04-30,1410,2135367,2,0,42,0,False,6,https://github.com/sindresorhus/is-binary-path
is-negative-zero,306761553,2024-02-19,1075,1510107,1,0,18,1,False,8,https://github.com/inspect-js/is-negative-zero
is-set,305834367,2024-03-08,449,474356,1,0,3,1,False,5,https://github.com/inspect-js/is-set
xtend,305792151,2019-07-08,4176,1446059,1,0,306,0,True,17,https://github.com/Raynos/xtend
d3-interpolate,300291136,2021-06-05,774,133077,2,0,497,17,False,39,https://github.com/d3/d3-interpolate
set-function-name,298152384,2024-02-20,95,273676,2,0,3,1,False,4,https://github.com/ljharb/set-function-name
figures,298023027,2024-03-04,2462,931471,1,0,634,0,False,25,https://github.com/sindresorhus/figures
d3-color,297592382,2022-03-28,725,133799,2,1,426,17,False,45,https://github.com/d3/d3-color
xmlbuilder,297024645,2020-04-08,1538,1052988,1,0,927,8,False,98,https://github.com/oozcitak/xmlbuilder-js
siginfo,293401464,2020-06-16,10,21688,1,0,30,0,False,4,https://github.com/emilbayes/siginfo
istanbul-lib-report,292984641,2023-07-25,1085,2624956,4,0,1103,202,False,25,https://github.com/istanbuljs/istanbuljs
d3-time,292577370,2022-12-02,364,120212,2,0,238,6,False,38,https://github.com/d3/d3-time
which-collection,292410636,2024-03-08,186,454166,1,0,10,1,False,3,https://github.com/inspect-js/which-collection
symbol-tree,289840959,2019-06-12,581,2132693,1,0,104,3,False,18,https://github.com/jsdom/js-symbol-tree
is-weakmap,289132593,2024-03-08,190,454147,1,0,3,1,False,5,https://github.com/inspect-js/is-weakmap
d3-ease,288649613,2021-06-05,462,83646,2,0,606,7,False,32,https://github.com/d3/d3-ease
d3-time-format,286130718,2021-12-04,598,120327,2,0,338,26,False,36,https://github.com/d3/d3-time-format
@types/d3-color,284811476,2023-11-07,223,30184,1,0,48512,736,False,30,https://github.com/DefinitelyTyped/DefinitelyTyped
d3-timer,284755808,2021-06-05,195,91106,2,0,169,6,False,35,https://github.com/d3/d3-timer
cli-width,281663610,2023-08-05,966,652796,2,0,24,4,False,12,https://github.com/knownasilya/cli-width
event-target-shim,280273823,2021-01-07,896,637867,1,0,130,29,False,27,https://github.com/mysticatea/event-target-shim
d3-scale,279534065,2021-09-24,2153,119152,2,0,1616,36,False,60,https://github.com/d3/d3-scale
@types/deep-eql,278631221,2023-11-07,8,8,1,0,51432,691,False,3,https://github.com/DefinitelyTyped/DefinitelyTyped
is-map,277180693,2024-03-08,442,474357,1,0,9,1,False,6,https://github.com/inspect-js/is-map
colorette,276492607,2023-04-16,2155,1727690,1,0,1624,9,False,37,https://github.com/jorgebucaran/colorette
lodash.isplainobject,274343972,2016-08-13,1449,984974,2,0,61277,104,False,19,https://github.com/lodash/lodash
@types/d3-timer,270553771,2023-11-07,51,23817,1,0,47049,681,False,19,https://github.com/DefinitelyTyped/DefinitelyTyped
buffer-crc32,270319801,2024-02-06,676,968951,2,0,100,8,False,24,https://github.com/brianloveswords/buffer-crc32
@types/d3-interpolate,269837965,2023-11-07,223,28402,1,0,51421,683,False,26,https://github.com/DefinitelyTyped/DefinitelyTyped
destroy,261513563,2022-03-20,1337,4522290,3,0,53,2,False,5,https://github.com/stream-utils/destroy
regenerator-runtime,258534114,2023-12-15,13548,4404245,1,0,3823,81,True,31,https://github.com/facebook/regenerator
is-potential-custom-element-name,257825611,2021-04-07,391,946146,1,0,9,0,False,2,https://github.com/mathiasbynens/is-potential-custom-element-name
object-hash,255821877,2022-02-18,2614,1803533,2,0,1473,40,False,47,https://github.com/puleos/object-hash
is-interactive,255019004,2021-05-03,654,704709,1,0,118,0,False,3,https://github.com/sindresorhus/is-interactive
whatwg-encoding,254925624,2023-11-12,616,2120358,6,0,26,0,True,10,https://github.com/jsdom/whatwg-encoding
extend-shallow,253129378,2017-12-20,1487,931824,2,0,34,4,False,13,https://github.com/jonschlinkert/extend-shallow
get-nonce,249198623,2020-04-17,23,64435,1,0,0,0,False,2,https://github.com/theKashey/get-nonce
detect-node-es,248713913,2021-03-18,29,74999,1,0,2,0,False,2,https://github.com/thekashey/detect-node
@types/connect,248359919,2023-11-07,436,1498356,1,0,51432,691,False,19,https://github.com/DefinitelyTyped/DefinitelyTyped
