nimi,lataukset_kk,viimeinen_julkaisu_pypi,riippuvia_paketteja,riippuvia_repoja,yllapitajia,advisoryja,repo_tahdet,repo_avoimet_issuet,repo_arkistoitu,versioita,repo
polling2,2052766,2021-07-19,26,76,1,0,61,36,False,8,https://github.com/ddmee/polling2
undetected-chromedriver,2050589,2024-02-17,104,908,1,0,12822,1141,False,54,https://github.com/ultrafunkamsterdam/undetected-chromedriver
dicttoxml,2046561,2022-12-23,75,964,1,0,385,26,False,49,https://github.com/quandyfactory/dicttoxml
trailrunner,2021026,2023-03-27,4,183,1,0,18,15,False,11,https://github.com/omnilib/trailrunner
scrapbook,2020269,2021-01-06,10,84,2,0,291,26,True,1,https://github.com/nteract/scrapbook
pymupdfb,2020186,2024-09-02,4,133,1,0,10672,56,False,18,https://github.com/pymupdf/pymupdf
nvidia-cublas-cu11,2018550,2024-08-17,71,4708,1,0,,,,4,
dvc-render,1998165,2024-04-10,14,199,2,0,6,20,False,34,https://github.com/iterative/dvc-render
python-lsp-jsonrpc,1994163,2023-09-23,12,1979,2,0,28,4,False,4,https://github.com/python-lsp/python-lsp-jsonrpc
pytest-messenger,1988024,2022-11-24,0,2,3,0,67,11,False,4,https://github.com/pytest-dev/pytest-messenger
pathlib-mate,1973869,2024-01-22,17,85,1,0,9,1,False,23,https://github.com/MacHu-GWU/pathlib_mate-project
azure-storage-file,1965223,2019-10-09,16,438,2,0,343,86,False,14,https://github.com/Azure/azure-storage-python
nvidia-cuda-nvrtc-cu11,1957696,2024-08-16,52,2977,1,0,,,,3,
plaster,1955649,2022-11-21,9,672,2,0,20,7,False,9,https://github.com/Pylons/plaster
amazon-textract-response-parser,1954620,2024-06-13,9,296,4,0,236,33,False,47,https://github.com/aws-samples/amazon-textract-response-parser
emr-notebooks-magics,1952098,2023-06-30,0,1,1,0,5320,291,False,6,
jsonpath-rw,1949723,2015-04-19,53,849,1,0,610,43,False,21,https://github.com/kennknowles/python-jsonpath-rw
pyramid-jinja2,1945953,2024-02-08,10,324,6,0,71,7,False,41,https://github.com/Pylons/pyramid_jinja2
dbfread,1942814,2016-11-25,17,255,1,0,244,40,False,15,https://github.com/olemb/dbfread
crossplane,1935353,2022-09-22,6,22,1,0,755,24,False,30,https://github.com/nginxinc/crossplane
pyseccomp,1933851,2021-01-02,0,1,1,0,12,0,False,3,https://github.com/cptpcrd/pyseccomp
webvtt-py,1931853,2024-05-30,20,86,1,0,234,23,False,15,https://github.com/glut23/webvtt-py
flask-bcrypt,1931248,2022-04-05,22,3080,2,0,323,8,False,16,https://github.com/maxcountryman/flask-bcrypt
py-asciimath,1924148,2020-04-22,1,1,1,0,42,9,False,20,https://github.com/belerico/py-asciimath
graphframes,1922742,2018-12-05,3,36,1,0,1204,41,False,1,https://github.com/graphframes/graphframes
curatorbin,1915306,2022-01-28,0,1,1,0,0,0,False,9,https://github.com/evergreen-ci/curatorbin
azure-mgmt-datalake-analytics,1901046,2022-12-16,8,416,3,0,5597,1117,False,15,https://github.com/Azure/azure-sdk-for-python
pygsheets,1895171,2022-11-30,24,352,1,0,1544,68,False,17,https://github.com/nithinmurali/pygsheets
tensorboard-plugin-wit,1894384,2022-01-05,73,17710,2,0,1006,97,False,5,
keras-preprocessing,1881525,2020-05-14,39,5336,1,0,1021,93,True,12,https://github.com/keras-team/keras-preprocessing
statshog,1876608,2021-05-07,0,45,1,0,2,0,False,6,https://github.com/macobo/statshog
pysrt,1876586,2020-01-20,38,375,1,0,492,30,False,33,https://github.com/byroot/pysrt
decord,1875939,2021-06-14,40,755,1,0,2512,220,False,24,https://github.com/dmlc/decord
types-werkzeug,1861844,2021-11-26,1,87,1,0,5118,372,False,19,https://github.com/python/typeshed
opentelemetry-resourcedetector-docker,1861620,2022-09-18,2,1,1,0,0,1,False,7,https://github.com/chrisguidry/opentelemetry-resourcedetector-docker
autograd-gamma,1846933,2020-10-15,6,172,1,0,15,3,False,8,https://github.com/CamDavidsonPilon/autograd-gamma
azure-containerregistry,1836888,2023-07-11,2,14,2,0,4524,1021,False,14,https://github.com/Azure/azure-sdk-python
columnar,1836226,2021-12-27,21,30,1,0,34,5,False,13,https://github.com/MaxTaggart/columnar
plyvel,1831259,2024-01-15,29,340,1,0,580,26,False,21,https://github.com/wbolster/plyvel
better-profanity,1830133,2020-11-02,6,138,1,0,232,31,False,12,https://github.com/snguyenthanh/better_profanity
iopath,1829559,2022-07-09,46,1964,2,0,153,10,False,10,https://github.com/facebookresearch/iopath
ntplib,1820325,2021-05-28,41,440,1,0,82,5,False,2,https://github.com/cf-natali/ntplib
nvidia-cuda-runtime-cu11,1811453,2024-08-16,77,3009,1,0,,,,3,
m3u8,1806684,2024-08-07,44,247,5,0,2278,45,False,61,https://github.com/globocom/m3u8
autocommand,1801787,2022-11-18,12,193,1,0,57,25,False,16,https://github.com/Lucretiel/autocommand
